"Date","SPY","QQQ","IWM","GLD","TLT","VIX","TNX"
2010-01-04,84.7963714599609,40.2907867431641,51.3665542602539,109.800003051758,55.928653717041,20.0400009155273,3.84100008010864
2010-01-05,85.0208206176758,40.2907867431641,51.18994140625,109.699996948242,56.2898559570312,19.3500003814697,3.75500011444092
2010-01-06,85.080696105957,40.0477638244629,51.1417655944824,111.51000213623,55.5363502502441,19.1599998474121,3.80800008773804
2010-01-07,85.4398727416992,40.0737953186035,51.519100189209,110.819999694824,55.6297187805176,19.0599994659424,3.82200002670288
2010-01-08,85.7241744995117,40.4036331176758,51.8000946044922,111.370002746582,55.6048049926758,18.1299991607666,3.80800008773804
2010-01-11,85.8439025878906,40.2387084960938,51.5913772583008,112.849998474121,55.2996978759766,17.5499992370605,3.81800007820129
2010-01-12,85.0432891845703,39.7352981567383,51.0293579101562,110.48999786377,56.246280670166,18.25,3.71900010108948
2010-01-13,85.7615966796875,40.2300338745117,51.6876983642578,111.540000915527,55.5923538208008,17.8500003814697,3.78299999237061
2010-01-14,85.9934997558594,40.2647590637207,51.8803939819336,112.029998779297,56.3708114624023,17.6299991607666,3.73399996757507
2010-01-15,85.0283126831055,39.7960548400879,51.1257019042969,110.860000610352,56.7195434570312,17.9099998474121,3.67600011825562
2010-01-18,NA,NA,NA,NA,NA,NA,NA
2010-01-19,86.0907974243164,40.4383354187012,52.0650520324707,111.519996643066,56.5576362609863,17.5799999237061,3.70700001716614
2010-01-20,85.2153701782227,39.8568153381348,51.3103675842285,108.940002441406,57.130500793457,18.6800003051758,3.65899991989136
2010-01-21,83.5767593383789,39.4835929870605,50.4673728942871,107.370002746582,57.3920516967773,22.2700004577637,3.61100006103516
2010-01-22,81.7136917114258,38.3291969299316,49.5601387023926,107.169998168945,57.2924880981445,27.3099994659424,3.59800004959106
2010-01-25,82.1327133178711,38.4593925476074,49.616340637207,107.480003356934,57.0308837890625,25.4099998474121,3.63000011444092
2010-01-26,81.7884979248047,38.4941101074219,49.1266021728516,107.559997558594,57.0495872497559,24.5499992370605,3.63000011444092
2010-01-27,82.1776123046875,38.7978897094727,49.6484680175781,106.529998779297,57.0184173583984,23.1399993896484,3.64400005340576
2010-01-28,81.2348403930664,37.7997398376465,48.7974243164062,106.480003356934,56.9873352050781,23.7299995422363,3.65799999237061
2010-01-29,80.3519058227539,37.1400985717773,48.2595138549805,105.959999084473,57.4855003356934,24.6200008392334,3.60899996757507
2010-02-01,81.6014633178711,37.548038482666,48.829532623291,108.349998474121,56.9636917114258,22.5900001525879,3.65400004386902
2010-02-02,82.5890731811523,37.8865280151367,49.3674621582031,109.129997253418,57.1261596679688,21.4799995422363,3.63499999046326
